t,ct
55,40
55,31.055384421052416
55,32.00277178311032
55,40
55,35.328272701024865
55,24.527079187244297
55,40
55,40
55,38.57841764552444
55,35.19222928568071
55,40
55,40
55,40
55,40
55,20.81028307656313
55,40
55,40
55,32.68667457035288
55,40
55,29.34196461334128
55,35.53554952210379
55,36.41706474872093
55,40
55,40
55,40
55,40
55,40
55,36.99098244136054
55,23.34988527731473
55,36.353707210334605
55,37.636315022938916
55,40
55,34.75661471248688
55,40
55,36.893752768840315
55,30.919679947612327
55,37.126014137900746
55,40
55,40
55,40
55,35.4544660423417
55,38.11650946729965
55,39.423174072087676
55,40
55,40
55,40
55,16.948292026944568
55,34.67010511175319
55,40
55,35.184062769199244
55,29.582402185040696
55,40
55,24.776164723334908
55,40
55,40
55,40
55,34.76963264663966
55,40
55,39.63869029507201
55,40
55,38.01877059206652
55,39.66197221586919
55,36.287810463004696
55,40
55,40
55,37.83917521000333
55,31.115249491252555
55,27.82933652332003
55,30.658511070068297
55,34.3045737964465
55,40
55,33.26334281718001
55,40
55,40
55,37.60480983435225
55,40
55,40
55,40
55,30.247662015820644
55,40
55,40
55,40
55,31.258634740274516
55,40
55,20.88428316065943
55,40
55,20.069900569807327
55,40
55,31.069999856039413
55,40
55,40
55,26.813143557356533
55,40
55,33.69306629345943
55,40
55,38.98002037104645
55,25.90998382481802
55,39.08183969754155
55,36.05756495551965
55,40
55,40
55,38.20236227347957
55,35.44791251397924
55,38.75064553801548
55,36.4886864337651
55,40
55,40
55,36.6083463348658
55,34.57273982356844
55,40
55,40
55,40
55,40
55,40
55,35.17821250627411
55,31.73752552789367
55,40
55,35.70329028564667
55,32.63488894467
55,40
55,34.98007172699302
55,34.64741448655192
55,38.42551106778204
55,32.57761449486283
55,40
55,40
55,32.946821302112326
55,40
55,40
55,37.60196545893068
55,29.942679692858658
55,40
55,32.1562071124128
55,36.24820033956357
55,40
55,37.595395712097904
55,40
55,40
55,40
55,40
55,18.256284688539083
55,40
55,32.08699577151247
55,29.7594345756681
55,40
55,40
55,40
55,35.67021794207978
55,20.336425459092705
55,40
55,30.045354176118103
55,40
55,40
55,40
55,38.5981644065807
55,28.79052788518944
55,28.55993243476282
55,40
55,35.679200957105095
55,40
55,36.507687247190596
55,28.69336373731467
55,34.09839342519521
55,40
55,36.80671821358716
55,33.56315091757282
55,34.2648592636513
55,40
55,37.62083159714204
55,38.52243976857616
55,40
55,32.24730502992905
55,39.68150450844472
55,29.636001106297783
55,37.31225952536168
55,40
55,40
55,37.96020780595311
55,34.193651809591174
55,35.792919869200475
55,40
55,36.904691394122395
55,40
55,40
55,40
55,40
55,39.033109647713644
55,35.34284037950059
55,20.67251463505762
