t,GR,ver
1,119.68313154130283,daily
2,-0.394993808240869,daily
3,0.3519764231571782,daily
4,0.12386948171278571,daily
5,0.17745536714278184,daily
6,0.4027514022365681,daily
7,0.11778303565638346,daily
8,0.22024079165624832,daily
9,0.26117094690344905,daily
10,0.2093170611359663,daily
11,0.18915850279048588,daily
12,0.2674384661751343,daily
13,0.2780499425010779,daily
14,0.14665626553410757,daily
15,0.2669060528066763,daily
16,0.23201346724385902,daily
17,0.2243608369179615,daily
18,0.2406057672538322,daily
19,0.19000681803145042,daily
20,0.2408908581169798,daily
21,0.23883285631504647,daily
22,0.22051625336938135,daily
23,0.22818813283179643,daily
24,0.21986276599252816,daily
25,0.19353016199180834,daily
26,0.2121356083022406,daily
27,0.20025108314128506,daily
28,0.20913001430723338,daily
29,0.17197180053057678,daily
30,0.18843573160298085,daily
31,0.17222512511598626,daily
32,0.14313213063102395,daily
33,0.13148720871655353,daily
34,0.1137354517844432,daily
35,0.085789105550738,daily
36,0.05780553063285938,daily
37,0.022969675873915643,daily
38,-0.013745713722103653,daily
39,-0.047551801152657544,daily
40,-0.08609016645102821,daily
41,-0.12885889126212977,daily
42,-0.16435449584374995,daily
43,-0.18829765625742345,daily
44,-0.23111340545903603,daily
45,-0.2393788464701981,daily
46,-0.2775616298472402,daily
47,-0.29239915581931364,daily
48,-0.2846140986092226,daily
49,-0.27637341801857374,daily
50,-0.2971497643744639,daily
51,-0.2765601460081629,daily
52,-0.2541430844347129,daily
53,-0.3072043056649877,daily
54,-0.25472454411927103,daily
55,-0.21840354522772715,daily
56,-0.2499245739918518,daily
57,-0.22091389598694058,daily
58,-0.27807727013204725,daily
59,-0.24357137400430787,daily
60,-0.13005312824819779,daily
61,-0.28200023898435,daily
62,-0.10127695414845224,daily
63,-0.2045094717693168,daily
64,-0.34574587340654206,daily
65,-0.10294796925244237,daily
66,-0.259957524436926,daily
67,-0.179201429457711,daily
68,-0.09811785595852336,daily
69,0.03045920748470844,daily
70,-0.12783337150988489,daily
71,-0.2876820724517809,daily
72,-0.42845462633286313,daily
73,0.2992428948528569,daily
74,-0.5947071077466928,daily
75,-0.2076393647782445,daily
76,0.03774032798284711,daily
77,-0.037740327982847086,daily
78,-0.8602012652231115,daily
79,0.24116205681688804,daily
80,-0.4418327522790392,daily
81,-0.25131442828090605,daily
82,0.4519851237430572,daily
83,-0.6061358035703156,daily
84,-0.1823215567939546,daily
85,0.3364722366212129,daily
86,-0.5596157879354228,daily
87,0,daily
88,0.5596157879354227,daily
89,-0.5596157879354228,daily
90,-0.6931471805599453,daily
91,0.9162907318741551,daily
92,-0.2231435513142097,daily
93,-1.3862943611198906,daily
94,-115.12925464970229,daily
95,115.82240183026222,daily
96,-115.82240183026222,daily
97,115.12925464970229,daily
98,0,daily
99,0,daily
100,-115.12925464970229,daily
101,0,daily
102,115.12925464970229,daily
103,-115.12925464970229,daily
104,0,daily
105,0,daily
106,0,daily
107,0,daily
108,0,daily
109,0,daily
110,0,daily
111,0,daily
112,0,daily
113,0,daily
114,0,daily
115,0,daily
116,0,daily
117,0,daily
118,0,daily
119,0,daily
120,0,daily
121,0,daily
122,0,daily
123,0,daily
124,0,daily
125,0,daily
126,0,daily
127,0,daily
128,0,daily
129,0,daily
130,0,daily
131,0,daily
132,0,daily
133,0,daily
134,0,daily
135,0,daily
136,0,daily
137,0,daily
138,0,daily
139,0,daily
140,0,daily
141,0,daily
142,0,daily
143,0,daily
144,0,daily
145,0,daily
146,0,daily
147,0,daily
148,0,daily
149,0,daily
150,0,daily
151,0,daily
152,0,daily
153,0,daily
154,0,daily
155,0,daily
156,0,daily
157,0,daily
158,0,daily
159,0,daily
160,0,daily
161,0,daily
162,0,daily
163,0,daily
164,0,daily
165,0,daily
166,0,daily
167,0,daily
168,0,daily
169,0,daily
170,0,daily
171,0,daily
172,0,daily
173,0,daily
174,0,daily
175,0,daily
176,0,daily
177,0,daily
178,0,daily
179,0,daily
180,0,daily
181,0,daily
182,0,daily
183,0,daily
184,0,daily
185,0,daily
186,0,daily
187,0,daily
188,0,daily
189,0,daily
190,0,daily
191,0,daily
192,0,daily
193,0,daily
194,0,daily
195,0,daily
196,0,daily
197,0,daily
198,0,daily
199,0,daily
200,0,daily
201,0,daily
202,0,daily
203,0,daily
204,0,daily
205,0,daily
206,0,daily
207,0,daily
208,0,daily
209,0,daily
210,0,daily
211,0,daily
212,0,daily
213,0,daily
214,0,daily
215,0,daily
216,0,daily
217,0,daily
218,0,daily
219,0,daily
220,0,daily
221,0,daily
222,0,daily
223,0,daily
224,0,daily
225,0,daily
226,0,daily
227,0,daily
228,0,daily
229,0,daily
230,0,daily
231,0,daily
232,0,daily
233,0,daily
234,0,daily
235,0,daily
236,0,daily
237,0,daily
238,0,daily
239,0,daily
240,0,daily
241,0,daily
242,0,daily
243,0,daily
244,0,daily
245,0,daily
246,0,daily
247,0,daily
248,0,daily
249,0,daily
250,0,daily
11,12.115270224266332,10
12,0.1658729204150978,10
13,0.23211614785669812,10
14,0.22472349979108808,10
15,0.22700217817322027,10
16,0.2359472467396097,10
17,0.2188734532403388,10
18,0.2295312333664966,10
19,0.231567730926255,10
20,0.22445131803905513,10
21,0.22760869773715647,10
22,0.23257613308961256,10
23,0.22788391180903725,10
24,0.2228977308421091,10
25,0.23021838088795116,10
26,0.22288079180646436,10
27,0.22089300591230251,10
28,0.21848203053463489,10
29,0.215334455239975,10
30,0.21353095348988763,10
31,0.20828544083848774,10
32,0.20162466771858173,10
33,0.19388625544474597,10
34,0.1842161630332217,10
35,0.1736034316124132,10
36,0.16282932596830615,10
37,0.14739631820136803,10
38,0.1296681774746311,10
39,0.1073806046716974,10
40,0.08542824450337397,10
41,0.057975654697973056,10
42,0.027867253060161454,10
43,-0.002881409587315936,10
44,-0.03485989608471363,10
45,-0.06934478180906156,10
46,-0.10186157701115517,10
47,-0.13539829305916512,10
48,-0.16693517622848805,10
49,-0.19402201471719996,10
50,-0.21690417640379156,10
51,-0.23801013619613515,10
52,-0.25278026167073847,10
53,-0.26175912052983474,10
54,-0.27364978547059116,10
55,-0.27601089933661466,10
56,-0.2739133692123676,10
57,-0.27114966362682874,10
58,-0.26400113764359145,10
59,-0.2633474547958739,10
60,-0.26006725039444734,10
61,-0.2433575867818207,10
62,-0.2439015960794394,10
63,-0.22861498305081335,10
64,-0.21834549966124625,10
65,-0.22744763258997336,10
66,-0.21590207499244488,10
67,-0.2169053700369523,10
68,-0.21273412338402933,10
69,-0.19473818196667694,10
70,-0.16733512381777532,10
71,-0.16711314814394404,10
72,-0.16768133149068712,10
73,-0.2003990987091282,10
74,-0.15002386204691084,10
75,-0.1749199854809259,10
76,-0.18538912503350613,10
77,-0.1556193397915288,10
78,-0.1414732296440424,10
79,-0.21768157057050122,10
80,-0.19661128563728328,10
81,-0.22801122371419869,10
82,-0.22437445929711122,10
83,-0.1363304842895192,10
84,-0.22686835413183642,10
85,-0.1856297990365626,10
86,-0.13121863889661686,10
87,-0.19095425048844386,10
88,-0.18718021769015916,10
89,-0.045198512374305735,10
90,-0.1252762968495368,10
91,-0.15040773967762744,10
92,-0.03364722366212131,10
93,-0.10116009116784801,10
94,-0.1791759469228055,10
95,-11.673869256213639,10
96,-0.12527629684953803,10
97,-11.651554901082218,10
98,-0.13862943611198905,10
99,-0.19459101490553132,10
100,-0.13862943611198905,10
101,-11.582240183026224,10
102,-11.673869256213639,10
103,-0.13862943611198905,10
104,-11.512925464970229,10
105,0,10
106,-11.582240183026222,10
107,0,10
108,-11.512925464970229,10
109,-11.512925464970229,10
110,-11.512925464970229,10
111,0,10
112,0,10
113,-11.512925464970229,10
114,0,10
115,0,10
116,0,10
117,0,10
118,0,10
119,0,10
120,0,10
121,0,10
122,0,10
123,0,10
124,0,10
125,0,10
126,0,10
127,0,10
128,0,10
129,0,10
130,0,10
131,0,10
132,0,10
133,0,10
134,0,10
135,0,10
136,0,10
137,0,10
138,0,10
139,0,10
140,0,10
141,0,10
142,0,10
143,0,10
144,0,10
145,0,10
146,0,10
147,0,10
148,0,10
149,0,10
150,0,10
151,0,10
152,0,10
