step,S,E,I,R,inc,beta,Rt
0,999900,0,100,0,0,0.9380863039399625,4.9995
1,999805,95,85,15,95,0.9380863039399625,4.9990250000000005
2,999741,133,99,27,64,0.9380863039399625,4.998705
3,999650,193,112,45,91,0.9380863039399625,4.9982500000000005
4,999547,257,133,63,103,0.9380863039399625,4.9977350000000005
5,999424,305,184,87,123,0.9380863039399625,4.99712
6,999240,412,227,121,184,0.9380863039399625,4.996200000000001
7,999033,535,276,156,207,0.9380863039399625,4.995165
8,998775,667,347,211,258,0.9380863039399625,4.993875
9,998440,862,443,255,335,0.9380863039399625,4.9922
10,998027,1089,555,329,413,0.9380863039399625,4.990135
11,997528,1351,697,424,499,0.9380863039399625,4.98764
12,996876,1686,884,554,652,0.9380863039399625,4.98438
13,996015,2181,1073,731,861,0.9380863039399625,4.980075
14,995018,2707,1370,905,997,0.9380863039399625,4.97509
15,993716,3412,1748,1124,1302,0.9380863039399625,4.96858
16,992074,4314,2195,1417,1642,0.9380863039399625,4.96037
17,990019,5403,2747,1831,2055,0.9380863039399625,4.950095
18,987405,6839,3459,2297,2614,0.9380863039399625,4.937025
19,984244,8456,4443,2857,3161,0.9380863039399625,4.92122
20,980222,10618,5532,3628,4022,0.9380863039399625,4.90111
21,975115,13368,6940,4577,5107,0.9380863039399625,4.875575
22,968748,16771,8720,5761,6367,0.9380863039399625,4.84374
23,960749,21093,10905,7253,7999,0.9380863039399625,4.803745
24,950783,26443,13620,9154,9966,0.9380863039399625,4.753915
25,938689,32670,17118,11523,12094,0.9380863039399625,4.693445
26,923737,40443,21387,14433,14952,0.9380863039399625,4.618685
27,905470,49691,26690,18149,18267,0.9380863039399625,4.52735
28,882954,61252,33061,22733,22516,0.9380863039399625,4.41477
29,856213,74360,40966,28461,26741,0.9380863039399625,4.281065
30,823927,90249,50438,35386,32286,0.9380863039399625,4.119635
31,785573,108636,61701,44090,38354,0.9380863039399625,3.927865
32,741317,128905,75179,54599,44256,0.9380863039399625,3.706585
33,690842,150827,90891,67440,50475,0.9380863039399625,3.4542100000000002
34,634287,174240,108544,82929,56555,0.9380863039399625,3.1714350000000002
35,572666,197359,128544,101431,61621,0.9380863039399625,2.8633300000000004
36,507378,219135,150126,123361,65288,0.9380863039399625,2.53689
37,440573,237373,172915,149139,66805,0.9380863039399625,2.202865
38,374680,250823,195855,178642,65893,0.9380863039399625,1.8734000000000002
39,311847,258303,217590,212260,62833,0.9380863039399625,1.5592350000000001
40,254197,258685,237582,249536,57650,0.9380863039399625,1.270985
41,203517,252602,253638,290243,50680,0.9380863039399625,1.017585
42,160518,239760,266091,333631,42999,0.9380863039399625,0.80259
43,124899,222716,273312,379073,35619,0.9380863039399625,0.624495
44,96630,201780,275731,425859,28269,0.9380863039399625,0.48315
45,74379,179725,272901,472995,22251,0.9380863039399625,0.37189500000000003
46,57521,156787,266170,519522,16858,0.9380863039399625,0.28760500000000006
47,44937,134839,255004,565220,12584,0.9380863039399625,0.224685
48,35470,114253,241197,609080,9467,0.9380863039399625,0.17735
49,28289,96112,225255,650344,7181,0.9380863039399625,0.14144500000000002
50,22954,80304,207849,688893,5335,0.9380863039399625,0.11477
51,18908,66842,189916,724334,4046,0.9380863039399625,0.09454
52,15770,55221,172237,756772,3138,0.9380863039399625,0.07885
53,13462,45461,154986,786091,2308,0.9380863039399625,0.06731
54,11673,37342,138215,812770,1789,0.9380863039399625,0.05836499999999999
55,10235,30558,122848,836359,1438,0.9380863039399625,0.051175
56,9115,24891,108672,857322,1120,0.9380863039399625,0.045575
57,8217,20251,95594,875938,898,0.9380863039399625,0.041085000000000003
58,7537,16440,83401,892622,680,0.9380863039399625,0.037685
59,7004,13357,73080,906559,533,0.9380863039399625,0.03502
60,6536,10818,63629,919017,468,0.9380863039399625,0.03268
61,6183,8820,55240,929757,353,0.9380863039399625,0.030915000000000005
62,5864,7237,47745,939154,319,0.9380863039399625,0.029320000000000002
63,5604,5916,41211,947269,260,0.9380863039399625,0.02802
64,5420,4802,35384,954394,184,0.9380863039399625,0.027100000000000003
65,5254,3923,30283,960540,166,0.9380863039399625,0.02627
66,5126,3143,26026,965705,128,0.9380863039399625,0.025630000000000003
67,5019,2544,22165,970272,107,0.9380863039399625,0.025095000000000003
68,4922,2068,18926,974084,97,0.9380863039399625,0.024610000000000003
69,4822,1669,16196,977313,100,0.9380863039399625,0.02411
70,4734,1375,13834,980057,88,0.9380863039399625,0.023670000000000004
71,4668,1122,11837,982373,66,0.9380863039399625,0.023340000000000003
72,4625,933,9962,984480,43,0.9380863039399625,0.023125
73,4567,806,8430,986197,58,0.9380863039399625,0.022835
74,4535,663,7149,987653,32,0.9380863039399625,0.022675
75,4509,518,6107,988866,26,0.9380863039399625,0.022545000000000003
76,4482,437,5146,989935,27,0.9380863039399625,0.02241
77,4456,359,4392,990793,26,0.9380863039399625,0.02228
78,4445,295,3702,991558,11,0.9380863039399625,0.022225000000000005
79,4431,239,3157,992173,14,0.9380863039399625,0.022155
80,4422,183,2670,992725,9,0.9380863039399625,0.02211
81,4415,157,2261,993167,7,0.9380863039399625,0.022075
82,4404,139,1909,993548,11,0.9380863039399625,0.022019999999999998
83,4398,106,1631,993865,6,0.9380863039399625,0.02199
84,4393,80,1388,994139,5,0.9380863039399625,0.021965000000000005
85,4386,74,1155,994385,7,0.9380863039399625,0.02193
86,4382,63,962,994593,4,0.9380863039399625,0.02191
87,4378,48,833,994741,4,0.9380863039399625,0.02189
88,4371,45,709,994875,7,0.9380863039399625,0.021855
89,4367,38,586,995009,4,0.9380863039399625,0.021835000000000004
90,4365,31,489,995115,2,0.9380863039399625,0.021825
91,4360,30,419,995191,5,0.9380863039399625,0.021800000000000003
92,4356,23,355,995266,4,0.9380863039399625,0.021779999999999997
93,4355,21,281,995343,1,0.9380863039399625,0.021775000000000003
94,4355,16,235,995394,0,0.9380863039399625,0.021775000000000003
95,4353,15,197,995435,2,0.9380863039399625,0.021765000000000003
96,4353,13,167,995467,0,0.9380863039399625,0.021765000000000003
97,4352,11,145,995492,1,0.9380863039399625,0.021759999999999998
98,4351,10,115,995524,1,0.9380863039399625,0.021755000000000004
99,4350,9,99,995542,1,0.9380863039399625,0.02175
